"EmployeeID","Age","Attrition","DistanceFromHome","Education","Gender","JobLevel","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearch & Development","DepartmentSales","EducationFieldLife Sciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnical Degree","JobRoleHuman Resources","JobRoleLaboratory Technician","JobRoleManager","JobRoleManufacturing Director","JobRoleResearch Director","JobRoleResearch Scientist","JobRoleSales Executive","JobRoleSales Representative","MaritalStatusMarried","MaritalStatusSingle","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","WorkHours"
52,31,1,20,1,1,3,99070,0,13,1,6,3,5,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,4,3,2,3,9
53,31,1,7,4,0,2,132250,3,21,1,9,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,3,4,7
54,45,1,3,1,1,1,35400,1,13,0,24,6,24,9,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,3,7
55,31,1,16,4,1,2,28040,0,19,2,3,0,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,1,3,3,9
56,33,1,9,3,0,4,193920,6,12,1,12,3,10,8,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,3,3,3,7
57,39,1,1,4,0,1,196650,1,22,1,21,6,21,11,10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,3,4,11
58,43,1,7,4,0,4,24390,0,15,0,9,2,8,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,4,3,3,3,8
59,49,1,1,3,0,3,73140,7,22,0,25,2,7,0,7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3,3,4,10
60,52,0,7,1,1,2,47740,2,18,1,11,2,8,7,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,2,3,3,8
61,27,1,15,4,0,3,39020,1,22,0,4,2,4,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,3,4,11
62,32,1,1,3,0,3,26620,1,11,1,13,6,13,11,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,4,3,10
63,27,1,13,2,1,4,28560,1,12,2,5,5,5,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,3,3,4,3,10
64,31,1,24,3,0,2,10810,4,11,3,13,4,7,1,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,7
65,32,1,7,3,0,2,24720,7,13,0,10,2,7,0,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,3,3,7
66,28,0,9,4,0,1,56730,5,14,1,5,4,3,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2,2,3,11
67,30,1,13,3,1,4,41970,1,13,0,11,3,10,1,9,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4,3,3,3,6
68,31,1,2,1,1,1,97130,1,17,0,10,5,10,8,9,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,3,2,3,7
69,39,1,19,4,1,1,20620,1,13,0,21,4,21,13,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,4,3,3,3,6
70,39,0,1,1,1,1,42840,4,17,1,12,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,3,3,10
71,33,1,4,2,0,4,47880,3,11,1,9,0,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,2,3,3,7
72,47,1,4,3,1,2,59060,4,23,0,21,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,4,4,6
73,43,1,14,3,1,5,38860,1,17,2,9,2,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,3,3,6
74,27,1,2,3,0,1,168230,0,17,0,6,3,5,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,3,3,9
75,54,1,1,4,0,2,29330,3,12,2,20,2,4,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,2,3,3,6
76,43,1,7,2,1,2,65000,8,23,0,10,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,2,3,4,7
77,45,1,3,1,1,1,171740,9,14,1,12,6,10,9,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,3,3,3,7
78,40,1,2,4,0,4,50330,2,14,2,6,6,4,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,4,2,3,3,10
79,29,0,29,3,1,1,23070,1,13,1,7,0,7,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,3,3,10
80,29,1,8,3,0,3,25870,0,22,2,4,3,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,3,4,7
81,30,1,10,3,0,2,55070,1,12,2,10,2,10,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,2,3,8
82,27,1,11,2,0,1,43930,1,18,1,8,2,8,0,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,3,2,3,6
83,37,1,1,4,0,2,133480,7,14,0,8,4,6,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,3,6
84,38,1,28,4,0,1,65830,0,12,0,12,1,11,2,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,3,3,9
85,31,1,6,3,1,3,81030,1,15,1,11,5,11,4,10,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,4,3,3,3,10
86,29,1,3,4,0,3,39780,1,11,0,7,0,7,1,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,3,3,8
87,35,1,16,2,0,3,25440,0,13,1,17,3,16,0,13,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,3,4,3,8
88,23,1,20,4,0,1,53990,1,23,0,4,2,4,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,2,2,4,7
89,41,1,9,2,1,1,54870,6,19,2,8,0,5,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,3,3,3,10
90,47,1,1,3,1,2,68340,3,16,1,5,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,3,4,3,8
91,42,1,3,4,0,1,10910,2,22,0,16,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,3,1,4,6
92,29,1,22,4,0,2,57360,1,22,0,4,1,4,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,3,2,2,4,6
93,42,1,7,4,0,3,22260,0,12,1,4,3,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,2,3,9
94,32,1,2,3,0,2,57470,1,13,0,8,0,8,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,3,3,8
95,48,1,13,4,0,4,98540,3,16,1,15,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,2,3,7
96,37,1,8,5,0,2,54670,4,12,0,13,2,7,6,7,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,3,3,3,11
97,30,1,25,4,0,1,53800,7,21,1,4,0,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3,4,3,4,10
98,26,1,28,3,1,5,51510,1,15,3,8,3,8,7,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3,3,3,3,6
99,42,1,2,2,1,1,21330,3,13,2,14,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4,3,3,3,6
100,21,0,9,3,1,4,178750,1,12,0,3,5,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3,2,3,8
101,36,1,28,3,0,2,24320,4,22,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,3,1,4,7
102,36,1,6,3,1,2,47710,4,13,1,16,2,13,1,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,3,3,3,7
103,57,1,21,4,0,5,191610,2,18,0,15,2,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,3,1,3,6
104,40,1,8,3,0,2,50870,3,14,1,10,3,7,1,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,3,3,3,3,8
105,21,1,1,5,1,2,28630,1,14,0,3,2,3,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,2,1,3,8
106,33,0,28,2,1,5,55610,1,21,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,3,3,1,4,11
107,37,1,5,3,0,4,21440,6,19,0,17,3,5,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,3,4,3,8
108,46,1,2,4,1,2,30650,2,11,0,7,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,4,3,3,6
109,41,0,16,1,1,1,28100,1,11,0,8,3,8,7,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,4,3,8
110,50,1,9,3,1,3,98880,6,15,0,20,2,4,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,4,3,3,3,7
111,40,0,8,3,1,1,86280,2,20,0,8,2,6,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,4,9
112,31,1,1,3,0,4,28670,0,24,0,3,5,2,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,3,3,4,11
113,21,0,10,2,0,1,53730,1,12,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,3,3,3,6
114,29,1,1,3,1,2,66670,9,12,1,6,6,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,3,4,3,8
115,35,1,29,3,1,3,50030,9,15,0,10,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,3,3,3,8
116,27,1,2,3,0,1,23670,2,12,1,5,2,5,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,3,3,6
117,28,1,2,2,0,3,28580,1,12,0,7,2,7,0,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,4,3,2,3,7
118,49,1,2,3,0,2,52040,8,14,1,26,3,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,3,3,3,3,8
119,51,1,1,2,0,1,41050,4,22,1,18,2,7,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,2,3,4,8
120,36,1,15,2,0,1,96790,4,12,0,6,1,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,3,3,3,6
121,34,0,7,3,0,1,56170,8,25,1,9,3,5,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,3,4,9
122,55,1,26,3,0,1,104480,2,13,0,30,3,5,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,3,3,3,9
123,24,1,1,3,1,5,28970,1,18,3,5,4,5,0,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,4,3,3,10
124,30,1,3,3,1,2,59680,1,13,0,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,3,3,3,7
125,26,0,14,3,0,2,75100,0,18,3,7,3,6,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,3,3,3,7
126,22,1,16,5,0,1,29910,1,19,2,2,3,2,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,3,2,3,6
127,36,1,1,3,1,5,196360,1,12,1,10,3,10,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,3,6
128,30,0,3,2,0,3,11290,9,19,0,3,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,3,2,3,8
129,37,1,10,1,0,1,133410,1,14,1,18,3,18,12,17,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,2,3,3,6
130,40,1,6,2,0,3,43320,7,14,2,8,3,5,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,2,3,7
131,42,1,2,3,1,4,110310,3,12,1,8,2,5,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,2,3,7
132,37,1,9,1,0,3,44400,2,11,1,18,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,2,3,10
133,43,1,10,2,1,1,46170,1,11,0,25,2,25,3,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,3,7
134,40,1,6,2,1,1,26470,6,13,0,20,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,3,2,3,7
135,54,1,9,3,1,2,63230,4,23,1,24,2,4,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,2,4,6
136,34,1,28,3,0,1,56770,9,20,1,6,3,3,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3,3,3,4,7
137,31,1,10,4,0,3,21870,1,15,1,13,2,13,3,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,2,3,6
138,43,1,14,3,1,1,37480,7,14,2,10,3,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,3,2,3,8
139,43,1,27,4,0,2,39770,4,18,1,8,3,5,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,3,9
140,25,1,7,2,0,1,86330,1,19,1,5,2,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,3,4,3,11
141,37,1,1,3,0,3,20080,3,22,0,15,5,13,10,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,3,3,2,4,11
142,31,1,24,1,0,3,44400,1,13,1,4,2,4,3,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,3,3,3,7
143,39,1,26,4,1,1,30670,1,20,1,21,5,21,1,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,3,1,4,9
144,56,1,20,4,1,3,53210,9,14,0,36,1,7,7,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,3,3,7
145,30,1,5,4,1,2,54100,0,17,1,6,2,5,4,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,3,3,3,8
146,41,1,7,3,1,3,27820,1,14,0,10,2,10,0,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,2,3,7
147,28,1,7,3,0,3,119570,1,13,0,10,2,10,1,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,3,6
148,25,0,5,2,1,3,26600,5,13,0,6,3,2,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,3,3,6
149,52,1,26,2,1,2,33750,2,21,0,28,2,5,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,3,2,4,8
150,45,1,2,3,1,1,50980,3,14,1,8,4,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2,3,3,7
151,52,1,12,3,0,2,48780,2,11,1,31,3,5,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,4,1,3,3,7
152,42,1,10,3,1,2,28370,2,13,1,19,0,5,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,7
153,30,1,25,3,0,1,24060,2,20,1,11,5,5,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,3,3,4,7
154,60,1,10,3,1,1,22690,5,18,1,33,4,29,11,10,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,3,6
155,46,1,19,4,1,1,41080,2,14,0,19,5,10,0,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,2,3,8
156,42,1,18,4,0,4,132060,0,13,2,7,2,6,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,4,4,3,3,7
157,24,0,27,2,0,1,104220,1,17,1,6,0,5,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,2,3,11
158,34,0,5,3,0,2,137440,0,20,1,3,3,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,2,3,4,6
